X X X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
0 1 1 01000010101000000000000000000000 01000010110100000000000000000000
0 1 1 11000010101111000000000000000000 01000010110100100000000000000000
0 1 1 01000010000010000000000000000000 11000010110011000000000000000000
0 1 1 11000010011000000000000000000000 01000001010000000000000000000000
0 1 1 01000010111010100000000000000000 01000010111011100000000000000000
0 1 1 11000010101011000000000000000000 01000010111100000000000000000000
0 1 1 01000010111010100000000000000000 11000000010000000000000000000000
0 1 1 01000010100110100000000000000000 11000010101101000000000000000000
0 1 1 11000001100110000000000000000000 01000010110101000000000000000000
0 1 1 01000010100101100000000000000000 01000010111010100000000000000000
0 1 1 01000010001000000000000000000000 11000010111010100000000000000000
0 1 1 01000010101100100000000000000000 01000010110111100000000000000000
0 1 1 01000010001110000000000000000000 01000010100001000000000000000000
0 1 1 01000010011110000000000000000000 11000001110110000000000000000000
0 1 1 01000010001000000000000000000000 11000010101001100000000000000000
0 1 1 01000010010101000000000000000000 11000010111011000000000000000000
0 1 1 11000010011000000000000000000000 11000010111001100000000000000000
0 1 1 11000010110011000000000000000000 01000010101001100000000000000000
0 1 1 01000010010010000000000000000000 11000010001110000000000000000000
0 1 1 01000010111001100000000000000000 11000010111011000000000000000000
0 1 1 11000001011100000000000000000000 11000001111100000000000000000000
0 1 1 01000010100010000000000000000000 01000010100101100000000000000000
0 1 1 11000010100111100000000000000000 11000000000000000000000000000000
0 1 1 11000001010100000000000000000000 01000010000110000000000000000000
0 1 1 01000010010110000000000000000000 01000010100000100000000000000000
0 1 1 11000010011000000000000000000000 01000010001110000000000000000000
0 1 1 01000010001000000000000000000000 11000010101010100000000000000000
0 1 1 11000010110000000000000000000000 00000000000000000000000000000000
0 1 1 01000010111010100000000000000000 11000010001000000000000000000000
0 1 1 01000001101100000000000000000000 11000010100011000000000000000000
0 1 1 01000010100000000000000000000000 11000010011110000000000000000000
0 1 1 01000000000000000000000000000000 01000010010011000000000000000000
0 1 1 01000010110010000000000000000000 01000010111010100000000000000000
0 1 1 01000001010000000000000000000000 11000010101101100000000000000000
0 1 1 11000010101100100000000000000000 11000010011101000000000000000000
0 1 1 01000010101011100000000000000000 11000010011110000000000000000000
0 1 1 01000010101000000000000000000000 11000010100000100000000000000000
0 1 1 01000010110111000000000000000000 11000010000110000000000000000000
0 1 1 11000010100110100000000000000000 11000010011111000000000000000000
0 1 1 01000001111100000000000000000000 11000000110000000000000000000000
0 1 1 11000010000101000000000000000000 01000010101010100000000000000000
0 1 1 01000001101100000000000000000000 01000001010100000000000000000000
0 1 1 01000010110101000000000000000000 11000010010110000000000000000000
0 1 1 01000010100001000000000000000000 01000010100000100000000000000000
0 1 1 11000001111100000000000000000000 01000001100100000000000000000000
0 1 1 11000010110101100000000000000000 11000010111000100000000000000000
0 1 1 01000001000000000000000000000000 01000010100011100000000000000000
0 1 1 01000010110111100000000000000000 11000010101111000000000000000000
0 1 1 01000001100100000000000000000000 11000000111000000000000000000000
0 1 1 11000010111101100000000000000000 11000010001001000000000000000000
0 1 1 11000010101010100000000000000000 01000010100101100000000000000000
0 1 1 01000010101000000000000000000000 01000010110100000000000000000000
0 1 1 11000010101111000000000000000000 01000010110100100000000000000000
0 1 1 01000010000010000000000000000000 11000010110011000000000000000000
0 1 1 11000010011000000000000000000000 01000001010000000000000000000000
0 1 1 01000010111010100000000000000000 01000010111011100000000000000000
0 1 1 11000010101011000000000000000000 01000010111100000000000000000000
0 1 1 01000010111010100000000000000000 11000000010000000000000000000000
0 1 1 01000010100110100000000000000000 11000010101101000000000000000000
0 1 1 11000001100110000000000000000000 01000010110101000000000000000000
0 1 1 01000010100101100000000000000000 01000010111010100000000000000000
0 1 1 01000010001000000000000000000000 11000010111010100000000000000000
0 1 1 01000010101100100000000000000000 01000010110111100000000000000000
0 1 1 01000010001110000000000000000000 01000010100001000000000000000000
